Mouse ID,Treatment,Time on wheel,latency to run,Frequency,1hr food consumed,1hr food consumed,Total food eaten,Total distance travel,time spend in food zone,Frequency to zone,Total distance travel,Velocity,Time in light,Frequency to light zone,Time to flick,Von frey,Latency to lick,Number of USVs
CTL1,Control,327.049,264,137,0,0,0.2,6370.47,636.884,109,1445.73,4.09016,240.1,49,1.86,7,2,0
CTL2,Control,434.945,145,74,0,0,0.2,6337.73,649.152,134,1136.53,4.88411,175.6,37,1.43,6,4,1
CTL3,Control,232.3,296,63,0,0,0.3,5824.71,594.148,94,933.295,3.3123,220.2,32,1.13,7,4,68
CTL4,Control,488.698,116,72,0.1,0.1,0.1,6311.41,605.015,102,1089.37,3.22873,260.466,48,0.8,7,7,0
CTL5,Control,293.939,60,116,0.1,0.1,0.1,5190.86,619.877,86,718.831,3.63846,165.832,26,1.8,6,5,0
CTL6,Control,35.8996,750,41,0.1,0.1,0,6487.93,597.144,106,1086.45,3.89087,277.864,22,2.56,10,5,0
CTL7,Control,364.607,115,111,0.2,0.2,0,7787.38,490.509,104,1195.14,3.72052,289.83,33,1.69,10,5,0
CTL8,Control,475.133,30.5333,89,0.22,0.22,0.33,5901.28,589.127,86,939.494,3.05067,292.097,18,1.77,9,4.1,0
CTL9,Control,735.199,37.5333,67,0.05,0.05,0.52,5922.28,543.561,106,871.102,3.15887,278.264,21,1.75,9,5,0
CTL10,Control,400.133,14.4,113,0.01,0.01,0.29,4508.16,631.827,69,1044.16,3.36793,311.997,20,1.29,9,5.5,0
CTL11,Control,648.266,16.6,114,0.03,0.03,0.26,4959.06,651.393,62,1330.38,4.21767,317.697,18,1.56,7,2.75,0
WL1,Exercise,406.677,97,69,0.4,0.4,0.3,4487.87,749.326,78,1164.08,3.11668,322.266,34,1.39,7,3,0
WL2,Exercise,321,100,95,0.7,0.7,0.6,4510.52,733.359,83,1484.31,3.93334,323.1,32,0.95,9,2.5,10
WL3,Exercise,559.933,22,144,0.1,0.1,0.1,5257.39,341.097,87,1302.08,4.42283,216.7,37,0.94,7,4,0
WL4,Exercise,494.204,94,74,0.2,0.2,0.3,4812.53,467.329,78,1086.93,3.56996,231.233,42,0.91,8,5,0
WL5,Exercise,523.761,12,73,0.3,0.3,0.2,4516.72,657.248,62,801.064,3.09733,236.098,39,0.89,9,4,652
WL6,Exercise,479.229,15,75,0.3,0.3,0.4,6514.85,498.58,122,1056.74,4.24999,236.945,31,2.76,12,10,327
WL7,Exercise,362.363,47,136,0.4,0.4,0.3,4446.57,689.447,64,740.008,2.88843,205.331,23,1.68,12,5,658
WL8,Exercise,251.597,31,71,0.3,0.3,0.2,5919.1,710.745,120,804.237,2.92223,216.978,34,1,11,10,0
WL9,Exercise,578.066,24.6,108,0.82,0.82,0.32,6433.3,576.661,123,807.606,2.85578,285.764,23,1.31,9,5,0
WL10,Exercise,711.799,13.6,85,0.43,0.43,0.21,5621.18,546.628,107,1326.33,3.64112,366.796,21,0.96,9,5,0
WL11,Exercise,886.999,27.4666,102,0.83,0.83,0.4,4620.61,501.228,68,1096.58,3.51808,306.33,18,1.08,11,3.7,225
WL12,Exercise,1219.87,15.6,34,0.28,0.28,0.24,5753.46,433.129,78,747.965,3.62741,209.098,22,1.56,10,5,0
SI1,Isolation,332.207,142,68,0.1,0.1,0,5496.26,537.461,97,597.763,3.84579,133.967,19,3.07,8,5,0
SI2,Isolation,217.904,98,118,0.5,0.5,0,6480.25,495.528,130,1182.1,4.38356,223.033,31,1.74,7,3,35
SI3,Isolation,82.1016,257,61,0.4,0.4,0,6004.96,495.595,78,856.359,3.6032,226.566,17,1.15,8,7,0
SI4,Isolation,100.569,91,63,0.3,0.3,0.1,9072.96,349.563,118,1015.94,4.41394,190.466,30,1.14,10,4,4
SI5,Isolation,129.403,311,113,0.3,0.3,0.3,6205.85,684.928,99,388.888,1.78828,215.931,9,4.22,8,9,174
SI6,Isolation,101.132,241,55,0.5,0.5,0.3,4802.62,393.148,55,893.367,2.83042,251.497,25,1.06,10,7,141
SI7,Isolation,182.137,233,101,0.2,0.2,0.1,6455.44,567.809,120,942.299,3.58428,243.764,14,1.62,11,7,450
SI8,Isolation,354.333,16.6667,128,0.02,0.02,0.21,6321.17,587.227,97,1060.25,3.73989,286.197,21,2.12,13,9.5,279
SI9,Isolation,332.533,40.4,68,0.14,0.14,0.53,6640.16,639.06,137,583.201,3.71154,159.665,19,1.67,12,9,44
SI10,Isolation,165.667,21.8666,103,0.05,0.05,0.06,5967.1,537.695,115,841.556,3.81431,223.031,18,1.34,12,6,0
SI11,Isolation,324.933,30.7333,57,0.06,0.06,0.23,5756.65,811.259,101,970.871,4.26698,229.898,18,3.65,12,5.75,138
