Mouse ID,Treatment,Total food eaten,Total distance travel,time spend in food zone,Frequency to zone
CTL1,Control,0.2,6370.47,636.884,109
CTL2,Control,0.2,6337.73,649.152,134
CTL3,Control,0.3,5824.71,594.148,94
CTL4,Control,0.1,6311.41,605.015,102
CTL5,Control,0.1,5190.86,619.877,86
CTL6,Control,0,6487.93,597.144,106
CTL7,Control,0,7787.38,490.509,104
CTL8,Control,0.33,5901.28,589.127,86
CTL9,Control,0.52,5922.28,543.561,106
CTL10,Control,0.29,4508.16,631.827,69
CTL11,Control,0.26,4959.06,651.393,62
WL1,Exercise,0.3,4487.87,749.326,78
WL2,Exercise,0.6,4510.52,733.359,83
WL3,Exercise,0.1,5257.39,341.097,87
WL4,Exercise,0.3,4812.53,467.329,78
WL5,Exercise,0.2,4516.72,657.248,62
WL6,Exercise,0.4,6514.85,498.58,122
WL7,Exercise,0.3,4446.57,689.447,64
WL8,Exercise,0.2,5919.1,710.745,120
WL9,Exercise,0.32,6433.3,576.661,123
WL10,Exercise,0.21,5621.18,546.628,107
WL11,Exercise,0.4,4620.61,501.228,68
WL12,Exercise,0.24,5753.46,433.129,78
SI1,Isolation,0,5496.26,537.461,97
SI2,Isolation,0,6480.25,495.528,130
SI3,Isolation,0,6004.96,495.595,78
SI4,Isolation,0.1,9072.96,349.563,118
SI5,Isolation,0.3,6205.85,684.928,99
SI6,Isolation,0.3,4802.62,393.148,55
SI7,Isolation,0.1,6455.44,567.809,120
SI8,Isolation,0.21,6321.17,587.227,97
SI9,Isolation,0.53,6640.16,639.06,137
SI10,Isolation,0.06,5967.1,537.695,115
SI11,Isolation,0.23,5756.65,811.259,101
